Year,pdf_name,Aggregated_Context,Hit_Count,Auto_Priority_Score,KEEP(1)_or_EXCLUDE(0)
2007,nime2007_Mann.pdf,"...ound production mechanism of an instrument. For example, the [HARPSICHORD] (and later the pi- ano) is often regarded as an improvement ... 

 ...n to play a larger more complex and intricate repetoire. The [HARPSICHORD] or piano can be used to play very richly in- tricate composi... 

 ...rice we pay for this separation is a loss of pysicality. The [HARPSICHORD] , for example, encloses and at least partially hides the har... 

 ...ents like the Neanderthal ﬂute, the tin ﬂute, the harp (pre- [HARPSICHORD] , i.e. just a raw harp), as well as the more modern guitar, ... 

 ...Natural [INTERFACES] for Musical Expression: Physiphones and a physics-based orga... 

 ...a physics-based organology Steve Mann Fluidly Limitless User [INTERFACES] Devices (FLUI D) Laboratory University of Toronto, Departmen... 

 ...are also proposed. (2) Although the current trend in musical [INTERFACES] has been to expand versatililty and generality by separating... 

 ...been to expand versatililty and generality by separating the [INTERFACE] from the sound-producing medium, this paper iden- tiﬁes an o...",107,619.1904094597583,0
2017,nime2017_bliang.pdf,"...l gesture visualisation ACM Classiﬁcation H.5.2 [Information [INTERFACES] and Presentation] User Inter- faces, I.5.5 [Pattern Recognit... 

 ...shot of our visualisation appli- cation. This graphical user [INTERFACE] (GUI) requires user to select a music score ﬁrst. After impo... 

 ...piano. In Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME) , 2012. [4] B. Caramiaux and A... 

 ...tures. In Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME), pages 513–518, 2013. 328 Figu... 

 ...iano. In Proceedings of the International Conference on Live [INTERFACES] , number 3, 2012. [6] W. Goebl, S. Dixon, G. De Poli, A. Fri... 

 ...ments. In Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME), pages 285–288, 2008. [8] A. H... 

 ...uches. In Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME) , pages 335–338, 2010. [9] P. ... 

 ...sture. In Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME), pages 152–157, 2013. [13] A. ...",64,554.2189432285979,1
2025,nime2025_38.pdf,"...ve strings, exempli- fied by the Sparksichord – an augmented [HARPSICHORD] that uses Lorentz Force actuation, optical feedback, and ana... 

 ... musical utility through a case study of the Sparksichord, a [HARPSICHORD] with 48 self-sustaining strings using a fully analog configu... 

 ...ry signal is applied to the string, the analogy of guitar or [HARPSICHORD] plucking position is useful. That is, the closer to the cent... 

 ...d Macomber’s 1994 experiment investigating nonlinearities in [HARPSICHORD] string dynamics [17]. However, depending on the material pro... 

 ... in the Magnetic Resonator Piano [ 23] could be applied to a [HARPSICHORD] . The initial goal of the Spark- sichord was to use the exis... 

 ... each string. Suc- cessful experiments on multiple different [HARPSICHORDS] strung in brass followed with several iterations of analog e... 

 ...analog electronics development. Once ready to augment a full [HARPSICHORD] , a 1970’s Zuckermann ‘Z-Box’ Harpsichord already owned by t... 

 ...y to augment a full harpsichord, a 1970’s Zuckermann ‘Z-Box’ [HARPSICHORD] already owned by the second author became the subject of our...",59,542.8458057997241,1
2008,nime2008_Hadjakos.pdf,"...ith the author(s). Proceedings of the 2008 Conference on New [INTERFACES] for Musical Expression (NIME08), Genova, Italy 285 muscle. W... 

 ... Hands Are Tracked Proceedings of the 2008 Conference on New [INTERFACES] for Musical Expression (NIME08), Genova, Italy 286 3.3 Recog... 

 ... of an elbow touch Proceedings of the 2008 Conference on New [INTERFACES] for Musical Expression (NIME08), Genova, Italy 287 Table 1. ... 

 ...Face and Object Tracking as a Component of a Perceptual User [INTERFACE] . In Fourth IEEE Workshop on Applications of Computer Vision... 

 ...oerselman, T., and B. Ong. 3D Augmented Mirror: A Multimodal [INTERFACE] for String Instrument Learning and Teaching with Gesture Sup... 

 ...roceedings of the 9th international conference on Multimodal [INTERFACES] , 2007 [8] Lin, C., and Liu, D. S. An Intelligent Virtual Pi... 

 ...n Multimedia, 1995 Proceedings of the 2008 Conference on New [INTERFACES] for Musical Expression (NIME08), Genova, Italy 288... 

 ... user who wants to practice with the Elbow Piano sits at the [KEYBOARD] and attaches the goniometers to her arms. She then plays a t...",70,532.8509589591672,1
2017,nime2017_pdahlstedt.pdf,"...ers.  As  a  trained keyboard player (piano, harpsichord and [CLAVICHORD] ), I want to take advantage of the motor skills I have devel... 

 ...n-keyboard  players.  As  a  trained keyboard player (piano, [HARPSICHORD] and clavichord), I want to take advantage of the motor skill... 

 ...yboard,  Musical  keyboard,  Multi-touch,  Mapping, Gestural [INTERFACES] , Physical modelling ACM Classification H.5.5 [Information I... 

 ...es, Physical modelling ACM Classification H.5.5 [Information [INTERFACES] and Presentation] Sound and Music Computing H.5.2 [Informati... 

 ...d Presentation] Sound and Music Computing H.5.2 [Information [INTERFACES] and Presentation] User Interfaces — Auditory (non-speech) fe... 

 ...mputing H.5.2 [Information Interfaces and Presentation] User [INTERFACES] — Auditory (non-speech) feedback   1 INTRODUCTION Keyboard i... 

 ...h) feedback   1 INTRODUCTION Keyboard instruments provide an [INTERFACE] optimized for a large number  of  notes,  but  little  contr... 

 ...istic search: 1. When multitouch sensors for normal keyboard [INTERFACES] are available, how can these be used to allow for extended c...",99,470.1585882326838,1
2020,nime2020_19.pdf,"..., Birmingham, United Kingdom. the aﬀordances provided by the [INTERFACE] , projected down through abottleneck and then expanded out a... 

 ...ect McPherson’s keyboard scanner to it. The scanner’s native [INTERFACE] to the host is via its USB device port, through which it str... 

 ... on Chip. Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME-20), Birmingham, 2020 97 Bela T... 

 ...U usage does not seem to have a consider- 3Serial Peripheral [INTERFACE] , a 4-wire high-speed communication bus. able eﬀect on the l... 

 ...2 + c (1) Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME-20), Birmingham, 2020 98 Figure... 

 ... with the Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME-20), Birmingham, 2020 99 contin... 

 ...contacts in the tone generator, thus maintaining the playing [INTERFACE] (keyboard and expression pedal) as close to the original ins... 

 ...oduct&b=4 Proceedings of the International Conference on New [INTERFACES] for Musical Expression (NIME-20), Birmingham, 2020 100 Bela ...",93,468.6865197669072,1
2021,nime2021_25.pdf,"...International Conference on New [INTERFACES] for Musical Expression Global Hyperorgan: a platform for tel... 

 ...national License (CC-BY 4.0) International Conference on New [INTERFACES] for Musical Expression Global Hyperorgan: a platform for tel... 

 ...n  techniques→Gestural input International Conference on New [INTERFACES] for Musical Expression Global Hyperorgan: a platform for tel... 

 ...ork. Plans include the development of a generalized software [INTERFACE] for  mapping acoustic realization among participating organs... 

 ...Studio Acusticum in Piteå1,  International Conference on New [INTERFACES] for Musical Expression Global Hyperorgan: a platform for tel... 

 ...kinds of mechanical filters  International Conference on New [INTERFACES] for Musical Expression Global Hyperorgan: a platform for tel... 

 ...ivation of a modular system. International Conference on New [INTERFACES] for Musical Expression Global Hyperorgan: a platform for tel... 

 ...  c o d i n g  s y s t e m . International Conference on New [INTERFACES] for Musical Expression Global Hyperorgan: a platform for tel...",58,449.6596258675747,1
2009,nime2009_Nicolls.pdf,"... DC motors in the piano.   established using a standard MIDI [INTERFACE] .  Extensive   work on scales of predictability previously u... 

 ...nsors inside the instrument and a webcam  on the side of the [KEYBOARD] (see Figure 1).    Figure 1. Piano & Lamp set -up  Using a l... 

 ...l,  maintaining any kind of pianistic r elationship with the [KEYBOARD] (ie with one’s arm at the correct angle), being  unable to s... 

 ...e main issue of  wanting to access both the strings an d the [KEYBOARD] at the  same time, my research led to deciding to up -end th... 

 ...existing upright pianos - is that  the strings are above the [KEYBOARD] , allowing easy access.   From an interactivity perspective,... 

 ...Twenty-first Century [PIANO] Sarah Nicolls  Brunel University  Kingston Lane  Uxbridge, U... 

 ...verview of the author’s work in developing  interactivity in [PIANO] performance, mechanical  augmentation of the piano and possi... 

 ...tivity in piano performance, mechanical  augmentation of the [PIANO] and possible structural  developments of the instrument to b...",50,448.1312194444132,1
2025,nime2025_16.pdf,".... In Proceedings of the 20th International Conference on New [INTERFACES] for Musical Expression. NIME. [3] John A. Biles. 1994. GenJa... 

 ...ule. In Proceedings of the In- ternational Conference on New [INTERFACES] for Musical Expression (NIME) 2024 . NIME. [5] Behzad Haki. ... 

 ...rformance Development In addition to considering the venue’s [LAYOUT] , minimal rehearsal time, and the performance requirements, ... 

 ...Repurposing a Rhythm Accompaniment System for Pipe [ORGAN] Performance Nicholas Evans Music Technology Group Universita... 

 ...formance by Raül Refree utilizing multiple MIDI-enabled pipe [ORGANS] at Palau Güell , as part of the Organic concert series. Our ... 

 ...ient structures while ignoring harmonic information. For the [ORGAN] performance, we required a system ca- pable of generating ha... 

 ...e performance. A key feature of Palau Güell is its permanent [ORGAN] , crafted by Albert Blancafort 2, a renowned local organ mak... 

 ...nent organ, crafted by Albert Blancafort 2, a renowned local [ORGAN] maker. This MIDI- enabled instrument was custom-designed acc...",36,429.5465066967497,1
2021,nime2021_29.pdf,"...International Conference on New [INTERFACES] for Musical Expression SoftMRP: a Software Emulation of the ... 

 ...national License (CC-BY 4.0) International Conference on New [INTERFACES] for Musical Expression SoftMRP: a Software Emulation of the ... 

 ...rated a degree of longevity. International Conference on New [INTERFACES] for Musical Expression SoftMRP: a Software Emulation of the ... 

 ...der organological  research. International Conference on New [INTERFACES] for Musical Expression SoftMRP: a Software Emulation of the ... 

 ...earsals of, a piece for MRP  International Conference on New [INTERFACES] for Musical Expression SoftMRP: a Software Emulation of the ... 

 ...d); if another sound source  International Conference on New [INTERFACES] for Musical Expression SoftMRP: a Software Emulation of the ... 

 ... M R P  m a i n  w i n d o w International Conference on New [INTERFACES] for Musical Expression SoftMRP: a Software Emulation of the ... 

 ...i n d o w  ( d e t a i l ) . International Conference on New [INTERFACES] for Musical Expression SoftMRP: a Software Emulation of the ...",63,419.3626792332779,1
2023,nime2023_82.pdf,"...ategy. In Proceedings of the International Conference on New [INTERFACES] for Musical Expression, 2018. [3] J. Bowers, J. Richards, T.... 

 ...atel, L. Rui, et al. One knob to rule them all: Reductionist [INTERFACES] for expansionist research. In Proceedings of the Internation... 

 ...earch. In Proceedings of the International Conference on New [INTERFACES] for Musical Expression, 2016. [4] P. Boyle. Improvisation an... 

 ...ctice. In Proceedings of the International Conference on New [INTERFACES] for Musical Expression, 2023. [6] J. De Souza. Music at hand... 

 ...://teodannemann.wordpress.com/ sabotaging-piano-concert/ the [KEYBOARD] until they found a pair of kays that has the particular rema... 

 ...The Sabotaging [PIANO] : key-to-pitch remapping as a source of new techniques in mu... 

 ...@qmul.ac.uk ABSTRACT In this paper we present the Sabotaging [PIANO] , a prepared electronic piano that alters key-to-pitch corre... 

 ...paper we present the Sabotaging Piano, a prepared electronic [PIANO] that alters key-to-pitch correspondence by reassigning adjac...",47,411.6706292109871,1
2013,nime2013_Xiao.pdf,"...r absent entirely. This paper introduces MirrorFugue III, an [INTERFACE] to experience recorded piano performance that combines the m... 

 ...Copyright remains with the author(s). Figure 1: Photo of our [INTERFACE] . The hands and body of a projected virtual pianist are sync... 

 ...njure the recorded pianist. We introduce MirrorFugue III, an [INTERFACE] for playback of captured performances on the piano that comb... 

 ...pict human presence is by rendering the ﬁgure through video. [INTERFACES] for remote collaboration often feature a video stream of a r... 

 ...g keys with the visual identity of the pianist such that the [INTERFACE] is perceived not as streams of synchronized infor- mation bu... 

 ...t not coincident with the physical keys, building on a prior [INTERFACE] for remote lessons [21]. Although this interface departs fro... 

 ... on a prior interface for remote lessons [21]. Although this [INTERFACE] departs from the re- ﬂection metaphor, it may oﬀer advantage... 

 ...s when used for pedagogy. We consider diﬀerences between the [INTERFACE] conﬁgurations in our evaluation. Figure 4: Alternate Interfa...",89,408.97920317361024,1
2012,nime2012_Shear.pdf,"...h electromagnet is driven by a dedicated channel on an audio [INTERFACE] . The Magnetic Res- onator Piano, on the other hand, uses a ... 

 ...the nature of a piano, 1961. US Patent 2,972,922. [2] Rhodes [KEYBOARD] Instruments USA. Rhodes Service Manual, 1979. [3] G. Shear. ... 

 ...her Developments in the Electromagnetically Sustained Rhodes [PIANO] Greg Shear Media Arts & Technology (MAT) University of Calif... 

 ...e.ucsb.edu ABSTRACT The Electromagnetically Sustained Rhodes [PIANO] is an orig- inal Rhodes Piano modiﬁed to provide control ove... 

 ...omagnetically Sustained Rhodes Piano is an orig- inal Rhodes [PIANO] modiﬁed to provide control over the amplitude envelope of in... 

 ...w ﬁts within the space constraints presented by the original [PIANO] , allowing it to be installed on adjacent notes. Keywords Rh... 

 ...owing it to be installed on adjacent notes. Keywords Rhodes, [PIANO] , mechanical synthesizer, electromagnetic, sus- tain, feedba... 

 ...ctromagnetic, sus- tain, feedback 1. INTRODUCTION The Rhodes [PIANO] sound has been a staple of mainstream music since its introd...",46,402.5856644974734,1
2011,nime2011_Lamb.pdf,"...Seaboard: a new piano keyboard-related [INTERFACE] combining discrete and continuous control Roland Lamb Design... 

 ...inuous inputs is summarized. Keywords Piano keyboard-related [INTERFACE] , continuous and discrete control, haptic feedback, Human-Co... 

 ... pitch, amplitude and timbral variation. This novel tangible [INTERFACE] was invented, designed and developed by Roland Lamb, in the ... 

 ...have been designed with the acous- tic piano keyboard as the [INTERFACE] paradigm on which they are based. Many electronic keyboards ... 

 ...yphonic pitch bend- ing. Piano-like polyphonic pitch-bending [INTERFACES] do exist, most notably the Haken Continuum Fingerboard [3], ... 

 ...f the Seaboard design process, like that of many new digital [INTERFACES] and instruments, has been to deliver an integrated music-cre... 

 ...arbitrary Proceedings of the International Conference on New [INTERFACES] for Musical Expression, 30 May - 1 June 2011, Oslo, Norway 5... 

 ...sidering key design choices. In concrete terms, the Seaboard [INTERFACE] takes the basic design layout of the piano keyboard and refa...",77,394.36869527045286,1
2012,nime2012_Wierenga.pdf,"... employed in the future;  candidates include traditional bow [INTERFACES] similar to those in the literature, numerous extant multi-to... 

 ...na corda pedal. In standard keyboard controller and computer [INTERFACES] , structural modification gestures often consist of the sele... 

 ..., N. and S. Gelineck, S. Serafin. 2007. “PHYSMISM: A control [INTERFACE] for creative exploration of physical models.” In Proceedings... 

 ...of physical models.” In Proceedings of the Conference on New [INTERFACES] for Musical Expression.[2]Collins, N. 2009. Handmade Electro... 

 ... Music Controllers.” In Proceedings of the Conference on New [INTERFACES] for Musical Expression.[4]Cook, P. 2002. Real Sound Synthesi... 

 ...SqueezeV ox Maggie.” In Proceedings of the Conference on New [INTERFACES] for Musical Expression.[6]“Endeavour GmbH – evo.” 2011. http... 

 ...28, 2012).[7]Essl, G. and S. O’Modhrain. 2005. “Scrubber: an [INTERFACE] for friction-induced sounds.” In Proceedings of the Conferen... 

 ...ion-induced sounds.” In Proceedings of the Conference on New [INTERFACES] for Musical Expression, 70-75.[8]Fuhler, C. 2007. “the Keyol...",74,391.92019912525103,1
2012,nime2012_McPherson_b.pdf,"...e mechanical and electrical properties of the PHANToM haptic [INTERFACE] and improvements for high performance control. Presence, 11(... 

 ...in Equation 1. 3.1.4 Construction Notes Schematics and board [LAYOUTS] are available from the author online.5 The roles of R2-R7 ha... 

 ...al in this pa- per forms the basis of the magnetic resonator [PIANO] , an electromagnetically-augmented acoustic grand piano now ... 

 ...nator piano, an electromagnetically-augmented acoustic grand [PIANO] now in its second design iteration. In addition to discussin... 

 ...n iteration. In addition to discussing appli- cations to the [PIANO] , this paper aims to provide a toolbox to accelerate the des... 

 ...onal acoustic instruments. The Electromagnetically- Prepared [PIANO] [1, 3] and the Magnetic Resonator Piano [11, 12] each use el... 

 ...gnetically- Prepared Piano [1, 3] and the Magnetic Resonator [PIANO] [11, 12] each use electromagnets inside a grand piano to ind... 

 ...onator Piano [11, 12] each use electromagnets inside a grand [PIANO] to induce vibrations in the strings independently of the per...",43,389.1729301227811,1
2013,nime2013_Grosshauser.pdf,"...ion, and many more ap- plication ﬁelds. 7. CONCLUSIONS A new [INTERFACE] which augments the violin and the keyboard with multiple tou... 

 ...port. In NIME ’06: Proceedings of the 2006 conference on New [INTERFACES] for musical expression , pages 402–406, Paris, France, Franc... 

 ...lpe, A. Camurri, editor, 8th International Conference on New [INTERFACES] for Musical Expression NIME08, 2008. [4] T. Grosshauser, U. ... 

 ...s for string instruments. In International Conference on New [INTERFACES] for Musical Expression, NIME2010 , Sydney, Australia, 2010. ... 

 ...ed on capacitive sensors. In International Conference on New [INTERFACES] for Musical Expression , Sydney, Australia, 2010. [6] A. Had... 

 ...sors. In NIME ’06: Proceedings of the 2006 conference on New [INTERFACES] for musical expression , pages 230–233, Paris, France, Franc... 

 ...ous key position sensing. In International Conference on New [INTERFACES] for Musical Expression, NIME10, Sydney, Australia, 2010. [13... 

 ...a, 2010. [13] R. Moog and T. Rhea. Evolution of the keyboard [INTERFACE] : The boesendorfer 290 se recording piano and the moog multi...",55,380.3972683294489,1
2011,nime2011_Milne.pdf,"...hich generalize many of the useful proper- ties of the Wicki [ACCORDION] button layout (the layout used by the Thummer) over a wide v... 

 ...n the case of the chromatic scale) can be found in the Wicki [ACCORDION] button layout [13]. The key to understanding the Wicki mappi... 

 ...ac.uk ABSTRACT In this paper, we describe a playable musical [INTERFACE] for tablets and multi-touch tables. The interface is a gener... 

 ...le musical interface for tablets and multi-touch tables. The [INTERFACE] is a general- ized keyboard, inspired by the Thummer, and co... 

 ...d, isomorphic layout, multi-touch sur- face, tablet, musical [INTERFACE] design, iPad, microtonality 1. INTRODUCTION Hex Player is a ... 

 ...esign features of the hardware Thummer to a software virtual [INTERFACE] , and how we have further ex- tended its capabilities in way... 

 ...any exam- Proceedings of the International Conference on New [INTERFACES] for Musical Expression, 30 May - 1 June 2011, Oslo, Norway 2... 

 .... After that, we discuss some of the potential beneﬁts of an [INTERFACE] like Hex Player. 2. GENERALIZED KEYBOARDS AND ISO- MORPHIC N...",75,380.0209893678357,1
