Year,pdf_name,ID,title,author,keywords,abstract,doi,bibtex
2012,nime2012_Shear.pdf,nime2012_Shear,Further Developments in the Electromagnetically Sustained Rhodes Piano,Greg Shear and Matthew Wright,"Rhodes, piano, mechanical synthesizer, electromagnetic, sustain, feedback","The Electromagnetically Sustained Rhodes Piano is an orig-inal Rhodes Piano modified to provide control over the amplitude envelope of individual notes through aftertouch pressure. Although there are many opportunities to shape the amplitude envelope before loudspeaker amplification, they are all governed by the ever-decaying physical vibra-tions of the tone generating mechanism. A single-note proof of concept for electromagnetic control over this vibrating mechanism was presented at NIME 2011.
In the past year, virtually every aspect of the system has been improved. We use a different vibration sensor that is immune to electromagnetic interference, thus eliminat-ing troublesome feedback. For control, we both reduce cost and gain continuous position sensing throughout the entire range of key motion in addition to aftertouch pressure. Finally, the entire system now fits within the space constraints presented by the original piano, allowing it to be installed on adjacent notes.",10.5281/zenodo.1180599,"@inproceedings{nime2012_Shear,
 abstract = {The Electromagnetically Sustained Rhodes Piano is an orig-inal Rhodes Piano modified to provide control over the amplitude envelope of individual notes through aftertouch pressure. Although there are many opportunities to shape the amplitude envelope before loudspeaker amplification, they are all governed by the ever-decaying physical vibra-tions of the tone generating mechanism. A single-note proof of concept for electromagnetic control over this vibrating mechanism was presented at NIME 2011.
In the past year, virtually every aspect of the system has been improved. We use a different vibration sensor that is immune to electromagnetic interference, thus eliminat-ing troublesome feedback. For control, we both reduce cost and gain continuous position sensing throughout the entire range of key motion in addition to aftertouch pressure. Finally, the entire system now fits within the space constraints presented by the original piano, allowing it to be installed on adjacent notes.},
 address = {Ann Arbor, Michigan},
 author = {Greg Shear and Matthew Wright},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1180599},
 issn = {2220-4806},
 keywords = {Rhodes, piano, mechanical synthesizer, electromagnetic, sustain, feedback},
 publisher = {University of Michigan},
 title = {Further Developments in the Electromagnetically Sustained Rhodes Piano},
 url = {http://www.nime.org/proceedings/2012/nime2012_284.pdf},
 year = {2012}
}
"
2011,nime2011_Lamb.pdf,nime2011_Lamb,Seaboard : a New Piano Keyboard-related Interface Combining Discrete and Continuous Control,"Lamb, Roland and Robertson, Andrew","Piano keyboard-related interface, continuous and discrete control, haptic feedback, Human-Computer Interaction (HCI) ","This paper introduces the Seaboard, a new tangible musicalinstrument which aims to provide musicians with significantcapability to manipulate sound in real-time in a musicallyintuitive way. It introduces the core design features whichmake the Seaboard unique, and describes the motivationand rationale behind the design. The fundamental approachto dealing with problems associated with discrete and continuous inputs is summarized.",10.5281/zenodo.1178081,"@inproceedings{nime2011_Lamb,
 abstract = {This paper introduces the Seaboard, a new tangible musicalinstrument which aims to provide musicians with significantcapability to manipulate sound in real-time in a musicallyintuitive way. It introduces the core design features whichmake the Seaboard unique, and describes the motivationand rationale behind the design. The fundamental approachto dealing with problems associated with discrete and continuous inputs is summarized.},
 address = {Oslo, Norway},
 author = {Lamb, Roland and Robertson, Andrew},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178081},
 issn = {2220-4806},
 keywords = {Piano keyboard-related interface, continuous and discrete control, haptic feedback, Human-Computer Interaction (HCI) },
 pages = {503--506},
 title = {Seaboard : a New Piano Keyboard-related Interface Combining Discrete and Continuous Control},
 url = {http://www.nime.org/proceedings/2011/nime2011_503.pdf},
 year = {2011}
}
"
2012,nime2012_Wierenga.pdf,nime2012_Wierenga,"A New Keyboard-Based, Sensor-Augmented Instrument For Live Performance",Red Wierenga,"Gesture, controllers, Digital Musical Instrument, keyboard","In an attempt to utilize the expert pianist's technique and spare bandwidth, a new keyboard-based instrument augmented by sensors suggested by the examination of existing acoustic instruments is introduced. The complete instrument includes a keyboard, various pedals and knee levers, several bowing controllers, and breath and embouchure sensors connected to an Arduino microcontroller that sends sensor data to a laptop running Max/MSP, where custom software maps the data to synthesis algorithms. The audio is output to a digital amplifier powering a transducer mounted on a resonator box to which several of the sensors are attached. Careful sensor selection and mapping help to facilitate performance mode.",10.5281/zenodo.1178451,"@inproceedings{nime2012_Wierenga,
 abstract = {In an attempt to utilize the expert pianist's technique and spare bandwidth, a new keyboard-based instrument augmented by sensors suggested by the examination of existing acoustic instruments is introduced. The complete instrument includes a keyboard, various pedals and knee levers, several bowing controllers, and breath and embouchure sensors connected to an Arduino microcontroller that sends sensor data to a laptop running Max/MSP, where custom software maps the data to synthesis algorithms. The audio is output to a digital amplifier powering a transducer mounted on a resonator box to which several of the sensors are attached. Careful sensor selection and mapping help to facilitate performance mode.},
 address = {Ann Arbor, Michigan},
 author = {Red Wierenga},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178451},
 issn = {2220-4806},
 keywords = {Gesture, controllers, Digital Musical Instrument, keyboard},
 publisher = {University of Michigan},
 title = {A New Keyboard-Based, Sensor-Augmented Instrument For Live Performance},
 url = {http://www.nime.org/proceedings/2012/nime2012_211.pdf},
 year = {2012}
}
"
2012,nime2012_McPherson_b.pdf,nime2012_McPherson_b,Techniques and Circuits for Electromagnetic Instrument Actuation,Andrew McPherson,"augmented instruments, electromagnetic actuation, circuit design, hardware","There is growing interest in the field of augmented musical instruments, which extend traditional acoustic instruments using new sensors and actuators. Several designs use electromagnetic actuation to induce vibrations in the acoustic mechanism, manipulating the traditional sound of the in-strument without external speakers. This paper presents techniques and guidelines for the use of electromagnetic actuation in augmented instruments, including actuator design and selection, interfacing with the instrument, and cir-cuits for driving the actuators. The material in this pa-per forms the basis of the magnetic resonator piano, an electromagnetically-augmented acoustic grand piano now in its second design iteration. In addition to discussing applications to the piano, this paper aims to provide a toolbox to accelerate the design of new hybrid acoustic-electronic instruments.",10.5281/zenodo.1180533,"@inproceedings{nime2012_McPherson_b,
 abstract = {There is growing interest in the field of augmented musical instruments, which extend traditional acoustic instruments using new sensors and actuators. Several designs use electromagnetic actuation to induce vibrations in the acoustic mechanism, manipulating the traditional sound of the in-strument without external speakers. This paper presents techniques and guidelines for the use of electromagnetic actuation in augmented instruments, including actuator design and selection, interfacing with the instrument, and cir-cuits for driving the actuators. The material in this pa-per forms the basis of the magnetic resonator piano, an electromagnetically-augmented acoustic grand piano now in its second design iteration. In addition to discussing applications to the piano, this paper aims to provide a toolbox to accelerate the design of new hybrid acoustic-electronic instruments.},
 address = {Ann Arbor, Michigan},
 author = {Andrew McPherson},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1180533},
 issn = {2220-4806},
 keywords = {augmented instruments, electromagnetic actuation, circuit design, hardware},
 publisher = {University of Michigan},
 title = {Techniques and Circuits for Electromagnetic Instrument Actuation},
 url = {http://www.nime.org/proceedings/2012/nime2012_117.pdf},
 year = {2012}
}
"
2013,nime2013_Grosshauser.pdf,nime2013_Grosshauser,Finger Position and Pressure Sensing Techniques for String and Keyboard Instruments,Tobias Grosshauser and Gerhard Tröster,"Sensor, Piano, Violin, Guitar, Position, Pressure, Keyboard","Several new technologies to capture motion, gesture and forces for musical instrument players' analyses have been developed in the last years. In research and for augmented instruments one parameter is underrepresented so far. It is finger position and pressure measurement, applied by the musician while playing the musical instrument. In this paper we show a flexible linear-potentiometer and forcesensitive-resistor (FSR) based solution for position, pressure and force sensing between the contact point of the fingers and the musical instrument. A flexible matrix printed circuit board (PCB) is fixed on a piano key. We further introduce linear potentiometer based left hand finger position sensing for string instruments, integrated into a violin and a guitar finger board. Several calibration and measurement scenarios are shown. The violin sensor was evaluated with 13 music students regarding playability and robustness of the system. Main focus was a the integration of the sensors into these two traditional musical instruments as unobtrusively as possible to keep natural haptic playing sensation. The musicians playing the violin in different performance situations stated good playability and no differences in the haptic sensation while playing. The piano sensor is rated, due to interviews after testing it in a conventional keyboard quite unobtrusive, too, but still evokes a different haptic sensation.",10.5281/zenodo.1178538,"@inproceedings{nime2013_Grosshauser,
 abstract = {Several new technologies to capture motion, gesture and forces for musical instrument players' analyses have been developed in the last years. In research and for augmented instruments one parameter is underrepresented so far. It is finger position and pressure measurement, applied by the musician while playing the musical instrument. In this paper we show a flexible linear-potentiometer and forcesensitive-resistor (FSR) based solution for position, pressure and force sensing between the contact point of the fingers and the musical instrument. A flexible matrix printed circuit board (PCB) is fixed on a piano key. We further introduce linear potentiometer based left hand finger position sensing for string instruments, integrated into a violin and a guitar finger board. Several calibration and measurement scenarios are shown. The violin sensor was evaluated with 13 music students regarding playability and robustness of the system. Main focus was a the integration of the sensors into these two traditional musical instruments as unobtrusively as possible to keep natural haptic playing sensation. The musicians playing the violin in different performance situations stated good playability and no differences in the haptic sensation while playing. The piano sensor is rated, due to interviews after testing it in a conventional keyboard quite unobtrusive, too, but still evokes a different haptic sensation.},
 address = {Daejeon, Republic of Korea},
 author = {Tobias Grosshauser and Gerhard Tr{\''o}ster},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178538},
 issn = {2220-4806},
 keywords = {Sensor, Piano, Violin, Guitar, Position, Pressure, Keyboard},
 month = {May},
 pages = {479--484},
 publisher = {Graduate School of Culture Technology, KAIST},
 title = {Finger Position and Pressure Sensing Techniques for String and Keyboard Instruments},
 url = {http://www.nime.org/proceedings/2013/nime2013_286.pdf},
 year = {2013}
}
"
2011,nime2011_Milne.pdf,nime2011_Milne,Hex Player --- A Virtual Musical Controller,"Milne, Andrew J. and Xamb\'{o}, Anna and Laney, Robin and Sharp, David B. and Prechtl, Anthony and Holland, Simon","generalized keyboard, isomorphic layout, multi-touch surface, tablet, musical interface design, iPad, microtonality ",,10.5281/zenodo.1178109,"@inproceedings{nime2011_Milne,
 address = {Oslo, Norway},
 author = {Milne, Andrew J. and Xamb\'{o}, Anna and Laney, Robin and Sharp, David B. and Prechtl, Anthony and Holland, Simon},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178109},
 issn = {2220-4806},
 keywords = {generalized keyboard, isomorphic layout, multi-touch surface, tablet, musical interface design, iPad, microtonality },
 pages = {244--247},
 title = {Hex Player --- A Virtual Musical Controller},
 url = {http://www.nime.org/proceedings/2011/nime2011_244.pdf},
 year = {2011}
}
"
2016,nime2016_Nash.pdf,nime2016_Nash,The 'E' in QWERTY: Musical Expression with Old Computer Interfaces,Chris Nash,,"This paper presents a development of the ubiquitous computer
keyboard to capture velocity and other continuous musical properties, in order to
support more expressive interaction with music software. Building on existing
`virtual piano' utilities, the device is designed to provide a richer
mechanism for note entry within predominantly non-realtime editing tasks, in
applications where keyboard interaction is a central component of the user
experience (score editors, sequencers, DAWs, trackers, live coding), and in which
users draw on virtuosities in both music and computing.
In the keyboard, additional hardware combines existing scan code (key press)
data with accelerometer readings to create a secondary USB device, using the same
cable but visible to software as a separate USB MIDI device aside existing USB
HID functionality. This paper presents and evaluates an initial prototype,
developed using an Arduino board and inexpensive sensors, and discusses design
considerations and test findings in musical applications, drawing on user studies
of keyboard-mediated music interaction. Without challenging more established (and
expensive) performance devices; significant benefits are demonstrated in
notation-mediated interaction, where the user's focus rests with
software.",10.5281/zenodo.1176088,"@inproceedings{nime2016_Nash,
 abstract = {This paper presents a development of the ubiquitous computer
keyboard to capture velocity and other continuous musical properties, in order to
support more expressive interaction with music software. Building on existing
`virtual piano' utilities, the device is designed to provide a richer
mechanism for note entry within predominantly non-realtime editing tasks, in
applications where keyboard interaction is a central component of the user
experience (score editors, sequencers, DAWs, trackers, live coding), and in which
users draw on virtuosities in both music and computing.
In the keyboard, additional hardware combines existing scan code (key press)
data with accelerometer readings to create a secondary USB device, using the same
cable but visible to software as a separate USB MIDI device aside existing USB
HID functionality. This paper presents and evaluates an initial prototype,
developed using an Arduino board and inexpensive sensors, and discusses design
considerations and test findings in musical applications, drawing on user studies
of keyboard-mediated music interaction. Without challenging more established (and
expensive) performance devices; significant benefits are demonstrated in
notation-mediated interaction, where the user's focus rests with
software.},
 address = {Brisbane, Australia},
 author = {Chris Nash},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1176088},
 isbn = {978-1-925455-13-7},
 issn = {2220-4806},
 pages = {224--229},
 publisher = {Queensland Conservatorium Griffith University},
 title = {The 'E' in QWERTY: Musical Expression with Old Computer Interfaces},
 track = {Papers},
 url = {http://www.nime.org/proceedings/2016/nime2016_paper0045.pdf},
 year = {2016}
}
"
2012,nime2012_Brent.pdf,nime2012_Brent,The Gesturally Extended Piano,William Brent,"Augmented instruments, controllers, motion tracking, mapping","This paper introduces the Gesturally Extended Piano---an augmented instrument controller that relies on information drawn from performer motion tracking in order to control real-time audiovisual processing and synthesis. Specifically, the positions, heights, velocities, and relative distances and angles of points on the hands and forearms are followed. Technical details and installation of the tracking system are covered, as well as strategies for interpreting and mapping the resulting data in relation to synthesis parameters. Design factors surrounding mapping choices and the interrelation between mapped parameters are also considered.",10.5281/zenodo.1178219,"@inproceedings{nime2012_Brent,
 abstract = {This paper introduces the Gesturally Extended Piano---an augmented instrument controller that relies on information drawn from performer motion tracking in order to control real-time audiovisual processing and synthesis. Specifically, the positions, heights, velocities, and relative distances and angles of points on the hands and forearms are followed. Technical details and installation of the tracking system are covered, as well as strategies for interpreting and mapping the resulting data in relation to synthesis parameters. Design factors surrounding mapping choices and the interrelation between mapped parameters are also considered.},
 address = {Ann Arbor, Michigan},
 author = {William Brent},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178219},
 issn = {2220-4806},
 keywords = {Augmented instruments, controllers, motion tracking, mapping},
 publisher = {University of Michigan},
 title = {The Gesturally Extended Piano},
 url = {http://www.nime.org/proceedings/2012/nime2012_102.pdf},
 year = {2012}
}
"
2014,nime2014_avanzandt.pdf,nime2014_avanzandt,PiaF: A Tool for Augmented Piano Performance Using Gesture Variation Following,Alejandro Van Zandt-Escobar and Baptiste Caramiaux and Atau Tanaka,,"When performing a piece, a pianist's interpretation is communicated both through the sound produced and through body gestures. We present PiaF (Piano Follower), a prototype for augmenting piano performance by measuring gesture variations. We survey other augmented piano projects, several of which focus on gestural recognition, and present our prototype which uses machine learning techniques for gesture classification and estimation of gesture variations in real-time. Our implementation uses the Kinect depth sensor to track body motion in space, which is used as input data. During an initial learning phase, the system is taught a set of reference gestures, or templates. During performance, the live gesture is classified in real-time, and variations with respect to the recognized template are computed. These values can then be mapped to audio processing parameters, to control digital effects which are applied to the acoustic output of the piano in real-time. We discuss initial tests using PiaF with a pianist, as well as potential applications beyond live performance, including pedagogy and embodiment of recorded performance.",10.5281/zenodo.1178991,"@inproceedings{nime2014_avanzandt,
 abstract = {When performing a piece, a pianist's interpretation is communicated both through the sound produced and through body gestures. We present PiaF (Piano Follower), a prototype for augmenting piano performance by measuring gesture variations. We survey other augmented piano projects, several of which focus on gestural recognition, and present our prototype which uses machine learning techniques for gesture classification and estimation of gesture variations in real-time. Our implementation uses the Kinect depth sensor to track body motion in space, which is used as input data. During an initial learning phase, the system is taught a set of reference gestures, or templates. During performance, the live gesture is classified in real-time, and variations with respect to the recognized template are computed. These values can then be mapped to audio processing parameters, to control digital effects which are applied to the acoustic output of the piano in real-time. We discuss initial tests using PiaF with a pianist, as well as potential applications beyond live performance, including pedagogy and embodiment of recorded performance.},
 address = {London, United Kingdom},
 author = {Alejandro Van Zandt-Escobar and Baptiste Caramiaux and Atau Tanaka},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178991},
 issn = {2220-4806},
 month = {June},
 pages = {167--170},
 publisher = {Goldsmiths, University of London},
 title = {PiaF: A Tool for Augmented Piano Performance Using Gesture Variation Following},
 url = {http://www.nime.org/proceedings/2014/nime2014_511.pdf},
 year = {2014}
}
"
2008,nime2008_Takegawa.pdf,nime2008_Takegawa,UnitKeyboard : An Easily Configurable Compact Clavier,"Takegawa, Yoshinari and Tsukamoto, Masahiko","Portable keyboard instruments, block interface, Automatic settings ","Musical keyboard instruments have a long history, whichresulted in many kinds of keyboards (claviers) today. Sincethe hardware of conventional musical keyboards cannot bechanged, such as the number of keys, musicians have tocarry these large keyboards for playing music that requiresonly a small diapason. To solve this problem, the goal ofour study is to construct UnitKeyboard, which has only 12keys (7 white keys and 5 black keys) and connectors fordocking with other UnitKeyboards. We can build variouskinds of musical keyboard configurations by connecting oneUnitKeyboard to others, since they have automatic settingsfor multiple keyboard instruments. We discuss the usabilityof the UnitKeyboard from reviews by several amateur andprofessional pianists who used the UnitKeyboard.",10.5281/zenodo.1179635,"@inproceedings{nime2008_Takegawa,
 abstract = {Musical keyboard instruments have a long history, whichresulted in many kinds of keyboards (claviers) today. Sincethe hardware of conventional musical keyboards cannot bechanged, such as the number of keys, musicians have tocarry these large keyboards for playing music that requiresonly a small diapason. To solve this problem, the goal ofour study is to construct UnitKeyboard, which has only 12keys (7 white keys and 5 black keys) and connectors fordocking with other UnitKeyboards. We can build variouskinds of musical keyboard configurations by connecting oneUnitKeyboard to others, since they have automatic settingsfor multiple keyboard instruments. We discuss the usabilityof the UnitKeyboard from reviews by several amateur andprofessional pianists who used the UnitKeyboard.},
 address = {Genoa, Italy},
 author = {Takegawa, Yoshinari and Tsukamoto, Masahiko},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1179635},
 issn = {2220-4806},
 keywords = {Portable keyboard instruments, block interface, Automatic settings },
 pages = {289--292},
 title = {UnitKeyboard : An Easily Configurable Compact Clavier},
 url = {http://www.nime.org/proceedings/2008/nime2008_289.pdf},
 year = {2008}
}
"
2010,nime2010_Hadjakos.pdf,nime2010_Hadjakos,Analysis of Piano Playing Movements Spanning Multiple Touches,"Hadjakos, Aristotelis and Mühlhäuser, Max",nime10,Awareness of playing movements can help a piano student to improve technique. We are developing a piano pedagogy application that uses sensor data of hand and arm movement and generates feedback to increase movement awareness. This paper reports on a method for analysis of piano playing movements. The method allows to judge whether an active movement in a joint has occurred during a given time interval. This time interval may include one or more touches. The problem is complicated by the fact that the mechanical interaction between the arm and piano action generates additional movements that are not under direct control of the player. The analysis method is able to ignore these movements and can therefore be used to provide useful feedback.,10.5281/zenodo.1177791,"@inproceedings{nime2010_Hadjakos,
 abstract = {Awareness of playing movements can help a piano student to improve technique. We are developing a piano pedagogy application that uses sensor data of hand and arm movement and generates feedback to increase movement awareness. This paper reports on a method for analysis of piano playing movements. The method allows to judge whether an active movement in a joint has occurred during a given time interval. This time interval may include one or more touches. The problem is complicated by the fact that the mechanical interaction between the arm and piano action generates additional movements that are not under direct control of the player. The analysis method is able to ignore these movements and can therefore be used to provide useful feedback.},
 address = {Sydney, Australia},
 author = {Hadjakos, Aristotelis and M\''{u}hlh\''{a}user, Max},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1177791},
 issn = {2220-4806},
 keywords = {nime10},
 pages = {335--338},
 title = {Analysis of Piano Playing Movements Spanning Multiple Touches},
 url = {http://www.nime.org/proceedings/2010/nime2010_335.pdf},
 year = {2010}
}
"
2017,nime2017_sglickman.pdf,nime2017_sglickman,Music Everywhere --- Augmented Reality Piano Improvisation Learning System,Seth Glickman and Byunghwan Lee and Fu Yen Hsiao and Shantanu Das,,"This paper describes the design and implementation of an augmented reality (AR) piano learning tool that uses a Microsoft HoloLens and a MIDI-over-Bluetooth-enabled electric piano. The tool presents a unique visual interface&#8212;a &#8220;mirror key overlay&#8221; approach&#8212;fitted for the AR environment, and opens up the possibility of on-instrument learning experiences. The curriculum focuses on teaching improvisation in blues, rock, jazz and classical genres. Users at the piano engage with interactive lessons, watch virtual hand demonstrations, see and hear example improvisations, and play their own solos and accompaniment along with AR-projected virtual musicians. The tool aims to be entertaining yet also effective in teaching core musical concepts.",10.5281/zenodo.1176350,"@inproceedings{nime2017_sglickman,
 abstract = {This paper describes the design and implementation of an augmented reality (AR) piano learning tool that uses a Microsoft HoloLens and a MIDI-over-Bluetooth-enabled electric piano. The tool presents a unique visual interface&#8212;a &#8220;mirror key overlay&#8221; approach&#8212;fitted for the AR environment, and opens up the possibility of on-instrument learning experiences. The curriculum focuses on teaching improvisation in blues, rock, jazz and classical genres. Users at the piano engage with interactive lessons, watch virtual hand demonstrations, see and hear example improvisations, and play their own solos and accompaniment along with AR-projected virtual musicians. The tool aims to be entertaining yet also effective in teaching core musical concepts.},
 address = {Copenhagen, Denmark},
 author = {Seth Glickman and Byunghwan Lee and Fu Yen Hsiao and Shantanu Das},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1176350},
 issn = {2220-4806},
 pages = {511--512},
 publisher = {Aalborg University Copenhagen},
 title = {Music Everywhere --- Augmented Reality Piano Improvisation Learning System},
 url = {http://www.nime.org/proceedings/2017/nime2017_paper0104.pdf},
 year = {2017}
}
"
2003,nime2003_Nishimoto.pdf,nime2003_Nishimoto,Why Always Versatile? Dynamically Customizable Musical Instruments Facilitate Expressive Performances,"Nishimoto, Kazushi and Oshima, Chika and Miyagawa, Yohei","Musical instruments, expression, design principle, degree of freedom, dynamic specialization","In this paper, we discuss a design principle for the musical instruments that are useful for both novices and professional musicians and that facilitate musically rich expression. We believe that the versatility of conventional musical instruments causes difficulty in performance. By dynamically specializing a musical instrument for performing a specific (genre of) piece, the musical instrument could become more useful for performing the piece and facilitates expressive performance. Based on this idea, we developed two new types of musical instruments, i.e., a ""given-melody-based musical instrument"" and a ""harmonic-function-based musical instrument"". From the experimental results using two prototypes, we demonstrate the efficiency of the design principle.",10.5281/zenodo.1176545,"@inproceedings{nime2003_Nishimoto,
 abstract = {In this paper, we discuss a design principle for the musical instruments that are useful for both novices and professional musicians and that facilitate musically rich expression. We believe that the versatility of conventional musical instruments causes difficulty in performance. By dynamically specializing a musical instrument for performing a specific (genre of) piece, the musical instrument could become more useful for performing the piece and facilitates expressive performance. Based on this idea, we developed two new types of musical instruments, i.e., a ""given-melody-based musical instrument"" and a ""harmonic-function-based musical instrument"". From the experimental results using two prototypes, we demonstrate the efficiency of the design principle.},
 address = {Montreal, Canada},
 author = {Nishimoto, Kazushi and Oshima, Chika and Miyagawa, Yohei},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 date = {22-24 May, 2003},
 doi = {10.5281/zenodo.1176545},
 issn = {2220-4806},
 keywords = {Musical instruments, expression, design principle, degree of freedom, dynamic specialization},
 pages = {164--169},
 title = {Why Always Versatile? Dynamically Customizable Musical Instruments Facilitate Expressive Performances},
 url = {http://www.nime.org/proceedings/2003/nime2003_164.pdf},
 year = {2003}
}
"
2012,nime2012_Yang.pdf,nime2012_Yang,Augmented Piano Performance using a Depth Camera,Qi Yang and Georg Essl,"NIME, piano, depth camera, musical instrument, gesture, tabletop projection","We augment the piano keyboard with a 3D gesture space using Microsoft Kinect for sensing and top-down projection for visual feedback. This interface provides multi-axial gesture controls to enable continuous adjustments to multiple acoustic parameters such as those on the typical digital synthesizers. We believe that using gesture control is more visceral and aesthetically pleasing, especially during concert performance where the visibility of the performer's action is important. Our system can also be used for other types of gesture interaction as well as for pedagogical applications.",10.5281/zenodo.1178455,"@inproceedings{nime2012_Yang,
 abstract = {We augment the piano keyboard with a 3D gesture space using Microsoft Kinect for sensing and top-down projection for visual feedback. This interface provides multi-axial gesture controls to enable continuous adjustments to multiple acoustic parameters such as those on the typical digital synthesizers. We believe that using gesture control is more visceral and aesthetically pleasing, especially during concert performance where the visibility of the performer's action is important. Our system can also be used for other types of gesture interaction as well as for pedagogical applications.},
 address = {Ann Arbor, Michigan},
 author = {Qi Yang and Georg Essl},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1178455},
 issn = {2220-4806},
 keywords = {NIME, piano, depth camera, musical instrument, gesture, tabletop projection},
 publisher = {University of Michigan},
 title = {Augmented Piano Performance using a Depth Camera},
 url = {http://www.nime.org/proceedings/2012/nime2012_203.pdf},
 year = {2012}
}
"
2018,nime2018_Granger.pdf,nime2018_Granger,Evaluating LED-based interface for Lumanote composition creation tool,James Granger and Mateo Aviles and Joshua Kirby and Austin Griffin and Johnny Yoon and Raniero A. Lara-Garduno and Tracy Hammond,,"Composing music typically requires years of music theory experience and knowledge that includes but is not limited to chord progression, melody composition theory, and an understanding of whole-step/half-step passing tones among others. For that reason, certain songwriters such as singers may find a necessity to hire experienced pianists to help compose their music. In order to facilitate the process for beginner and aspiring musicians, we have developed Lumanote, a music composition tool that aids songwriters by presenting real-time suggestions on appropriate melody notes and chord progression. While a preliminary evaluation yielded favorable results for beginners, many commented on the difficulty of having to map the note suggestions displayed on the on-screen interface to the physical keyboard they were playing on. This paper presents the resulting solution: an LED-based feedback system that is designed to be directly attached to any standard MIDI keyboard. This peripheral aims to help map note suggestions directly to the physical keys of a musical keyboard. A study consisting of 22 individuals was conducted to compare the effectiveness of the new LED-based system with the existing computer interface, finding that the vast majority of users preferred the LED system. Three experienced musicians also judged and ranked the compositions, noting significant improvement in song quality when using either system, and citing comparable quality between compositions that used either interface.",10.5281/zenodo.1302557,"@inproceedings{nime2018_Granger,
 abstract = {Composing music typically requires years of music theory experience and knowledge that includes but is not limited to chord progression, melody composition theory, and an understanding of whole-step/half-step passing tones among others. For that reason, certain songwriters such as singers may find a necessity to hire experienced pianists to help compose their music. In order to facilitate the process for beginner and aspiring musicians, we have developed Lumanote, a music composition tool that aids songwriters by presenting real-time suggestions on appropriate melody notes and chord progression. While a preliminary evaluation yielded favorable results for beginners, many commented on the difficulty of having to map the note suggestions displayed on the on-screen interface to the physical keyboard they were playing on. This paper presents the resulting solution: an LED-based feedback system that is designed to be directly attached to any standard MIDI keyboard. This peripheral aims to help map note suggestions directly to the physical keys of a musical keyboard. A study consisting of 22 individuals was conducted to compare the effectiveness of the new LED-based system with the existing computer interface, finding that the vast majority of users preferred the LED system. Three experienced musicians also judged and ranked the compositions, noting significant improvement in song quality when using either system, and citing comparable quality between compositions that used either interface.},
 address = {Blacksburg, Virginia, USA},
 author = {James Granger and Mateo Aviles and Joshua Kirby and Austin Griffin and Johnny Yoon and Raniero A. Lara-Garduno and Tracy Hammond},
 booktitle = {Proceedings of the International Conference on New Interfaces for Musical Expression},
 doi = {10.5281/zenodo.1302557},
 editor = {Luke Dahl, Douglas Bowman, Thomas Martin},
 isbn = {978-1-949373-99-8},
 issn = {2220-4806},
 month = {June},
 pages = {216--221},
 publisher = {Virginia Tech},
 title = {Evaluating LED-based interface for Lumanote composition creation tool},
 url = {http://www.nime.org/proceedings/2018/nime2018_paper0048.pdf},
 year = {2018}
}
"
